周期,趋势A周期,龙头A周期,B周期,C周期,D周期,一个周期形成短时间内难改变,,,,,,,,,,,,,,
现象,"指数共振，有趋势主线,需要耐心持股","指数共振或者背离，有7板以上龙头
龙头主动有带动性，龙头板块是题材主线","指数多震荡，题材混乱，多杂无主线和持续性
空间压制7板以下，高度板A杀，炸板率高，多
卡位","指数放量共振普涨，题材有主线，龙头
多换手龙，空间9板以上，或者不断
反包趋势大龙，亏钱效应很弱，断板后
多反包","指数下跌，题材萎靡，难有
板块效应，空间压制5板以下
断板后多一字跌停",,,,,,,,,,,,,,,
频率,2-3个月一次,3-4个月一次,1个月多次,1年2-3次,2-3个月一次,,,,,,,,,,,,,,,
注意点,"1 只做主线容量核心，阵眼
2 以周持股
3 防范指数高位爆量分歧
4 趋势加速次日不开仓","1只做龙头
2只看高位，龙头格局","1不做弱转强
2少格局
3题材高潮直接跑","1 普涨容易降低风偏，提高个股期望
2 买不到核心乱买",,,,,,,,,,,,,,,,
仓位,全仓（回撤线之上),全仓（回撤线之上),半仓以下,全仓（回撤线之上),空仓,,,,,,,,,,,,,,,
频率,1周最多2次,1周最多2次,1周1次,1周多次,无,,,,,,,,,,,,,,,
出手点,"1指数转折点
2主线加强点
3主线首次分歧点","1龙头打破空间压制
2龙头弱转强
3龙头首次分歧转一致","1情绪连续分歧2-3天，做接力分歧转一致的标
2情绪修复，做当天最强板块的核心标",1,无,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"注：
1.节点不对直接逆回购
2.节点先确定再出手，填不出就空仓
3远离筹码断层股票",,,,,,,,,,,,,,,,,,,,
